,Sample_Name,Subject.ID,CellType,Sex,Age,Array,Slide,Study,SampleID,CellTypeLong,ArrayTypes,CellType_original,Reclassified
3999984027_R02C01,BakFW001,BakFW001,CD4T,M,0,R02C01,3999984027    ,Bakulski,FW001,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999984027_R06C01,BakFW001,BakFW001,NK,M,0,R06C01,3999984027    ,Bakulski,FW001,NK,IlluminaHumanMethylation450k,NK,No
3999984027_R01C02,BakFW001,BakFW001,nRBC,M,0,R01C02,3999984027    ,Bakulski,FW001,nRBC,IlluminaHumanMethylation450k,nRBC,No
3999984027_R02C02,BakFW007,BakFW007,Bcell,F,0,R02C02,3999984027    ,Bakulski,FW007,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999984027_R04C02,BakFW007,BakFW007,Mono,F,0,R04C02,3999984027    ,Bakulski,FW007,Mono,IlluminaHumanMethylation450k,Mono,No
3999984027_R05C02,BakFW007,BakFW007,nRBC,F,0,R05C02,3999984027    ,Bakulski,FW007,nRBC,IlluminaHumanMethylation450k,nRBC,No
3999984027_R06C02,BakFW007,BakFW007,WBC,F,0,R06C02,3999984027    ,Bakulski,FW007,WBC,IlluminaHumanMethylation450k,WBC,No
3999997142_R01C01,BakFW002,BakFW002,Bcell,F,0,R01C01,3999997142    ,Bakulski,FW002,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999997142_R02C01,BakFW002,BakFW002,CD4T,F,0,R02C01,3999997142    ,Bakulski,FW002,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999997142_R03C01,BakFW002,BakFW002,CD8T,F,0,R03C01,3999997142    ,Bakulski,FW002,CD8T,IlluminaHumanMethylation450k,CD8T,No
3999997142_R04C01,BakFW002,BakFW002,Mono,F,0,R04C01,3999997142    ,Bakulski,FW002,Mono,IlluminaHumanMethylation450k,Mono,No
3999997142_R05C01,BakFW002,BakFW002,NK,F,0,R05C01,3999997142    ,Bakulski,FW002,NK,IlluminaHumanMethylation450k,NK,No
3999997142_R06C01,BakFW002,BakFW002,nRBC,F,0,R06C01,3999997142    ,Bakulski,FW002,nRBC,IlluminaHumanMethylation450k,nRBC,No
3999997142_R02C02,BakFW010,BakFW010,CD4T,M,0,R02C02,3999997142    ,Bakulski,FW010,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999997142_R04C02,BakFW010,BakFW010,Gran,M,0,R04C02,3999997142    ,Bakulski,FW010,Gran,IlluminaHumanMethylation450k,Gran,No
3999997142_R05C02,BakFW010,BakFW010,Mono,M,0,R05C02,3999997142    ,Bakulski,FW010,Mono,IlluminaHumanMethylation450k,Mono,No
3999997142_R06C02,BakFW010,BakFW010,NK,M,0,R06C02,3999997142    ,Bakulski,FW010,NK,IlluminaHumanMethylation450k,NK,No
3999984058_R01C01,BakFW009,BakFW009,WBC,F,0,R01C01,3999984058    ,Bakulski,FW009,WBC,IlluminaHumanMethylation450k,WBC,No
3999984058_R02C01,BakFW010,BakFW010,WBC,M,0,R02C01,3999984058    ,Bakulski,FW010,WBC,IlluminaHumanMethylation450k,WBC,No
3999984058_R03C01,BakFW008,BakFW008,Bcell,M,0,R03C01,3999984058    ,Bakulski,FW008,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999984058_R04C01,BakFW008,BakFW008,CD4T,M,0,R04C01,3999984058    ,Bakulski,FW008,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999984058_R06C01,BakFW008,BakFW008,Mono,M,0,R06C01,3999984058    ,Bakulski,FW008,Mono,IlluminaHumanMethylation450k,Mono,No
3999984058_R01C02,BakFW008,BakFW008,NK,M,0,R01C02,3999984058    ,Bakulski,FW008,NK,IlluminaHumanMethylation450k,NK,No
3999984058_R02C02,BakFW008,BakFW008,WBC,M,0,R02C02,3999984058    ,Bakulski,FW008,WBC,IlluminaHumanMethylation450k,WBC,No
3999984059_R01C01,BakFW011,BakFW011,Gran,F,0,R01C01,3999984059    ,Bakulski,FW011,Gran,IlluminaHumanMethylation450k,Gran,No
3999984059_R02C01,BakFW011,BakFW011,Mono,F,0,R02C01,3999984059    ,Bakulski,FW011,Mono,IlluminaHumanMethylation450k,Mono,No
3999984059_R03C01,BakFW011,BakFW011,NK,F,0,R03C01,3999984059    ,Bakulski,FW011,NK,IlluminaHumanMethylation450k,NK,No
3999984059_R04C01,BakFW011,BakFW011,WBC,F,0,R04C01,3999984059    ,Bakulski,FW011,WBC,IlluminaHumanMethylation450k,WBC,No
3999984059_R06C01,BakFW012,BakFW012,Bcell,M,0,R06C01,3999984059    ,Bakulski,FW012,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999984059_R01C02,BakFW012,BakFW012,CD4T,M,0,R01C02,3999984059    ,Bakulski,FW012,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999984059_R03C02,BakFW012,BakFW012,Gran,M,0,R03C02,3999984059    ,Bakulski,FW012,Gran,IlluminaHumanMethylation450k,Gran,No
3999984059_R04C02,BakFW012,BakFW012,Mono,M,0,R04C02,3999984059    ,Bakulski,FW012,Mono,IlluminaHumanMethylation450k,Mono,No
3999984059_R05C02,BakFW012,BakFW012,NK,M,0,R05C02,3999984059    ,Bakulski,FW012,NK,IlluminaHumanMethylation450k,NK,No
3999984059_R06C02,BakFW012,BakFW012,WBC,M,0,R06C02,3999984059    ,Bakulski,FW012,WBC,IlluminaHumanMethylation450k,WBC,No
3999492002_R01C01,BakFW013,BakFW013,Bcell,M,0,R01C01,3999492002    ,Bakulski,FW013,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492002_R02C01,BakFW013,BakFW013,CD4T,M,0,R02C01,3999492002    ,Bakulski,FW013,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999492002_R04C01,BakFW013,BakFW013,Gran,M,0,R04C01,3999492002    ,Bakulski,FW013,Gran,IlluminaHumanMethylation450k,Gran,No
3999492002_R05C01,BakFW013,BakFW013,Mono,M,0,R05C01,3999492002    ,Bakulski,FW013,Mono,IlluminaHumanMethylation450k,Mono,No
3999492002_R06C01,BakFW013,BakFW013,NK,M,0,R06C01,3999492002    ,Bakulski,FW013,NK,IlluminaHumanMethylation450k,NK,No
3999492002_R01C02,BakFW013,BakFW013,WBC,M,0,R01C02,3999492002    ,Bakulski,FW013,WBC,IlluminaHumanMethylation450k,WBC,No
3999492002_R02C02,BakFW014,BakFW014,Bcell,F,0,R02C02,3999492002    ,Bakulski,FW014,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492002_R05C02,BakFW014,BakFW014,Gran,F,0,R05C02,3999492002    ,Bakulski,FW014,Gran,IlluminaHumanMethylation450k,Gran,No
3999492002_R06C02,BakFW014,BakFW014,Mono,F,0,R06C02,3999492002    ,Bakulski,FW014,Mono,IlluminaHumanMethylation450k,Mono,No
3999492113_R01C01,BakFW014,BakFW014,NK,F,0,R01C01,3999492113    ,Bakulski,FW014,NK,IlluminaHumanMethylation450k,NK,No
3999492113_R02C01,BakFW014,BakFW014,WBC,F,0,R02C01,3999492113    ,Bakulski,FW014,WBC,IlluminaHumanMethylation450k,WBC,No
3999492113_R06C01,BakFW015,BakFW015,Gran,F,0,R06C01,3999492113    ,Bakulski,FW015,Gran,IlluminaHumanMethylation450k,Gran,No
3999492113_R01C02,BakFW015,BakFW015,Mono,F,0,R01C02,3999492113    ,Bakulski,FW015,Mono,IlluminaHumanMethylation450k,Mono,No
3999492113_R03C02,BakFW015,BakFW015,WBC,F,0,R03C02,3999492113    ,Bakulski,FW015,WBC,IlluminaHumanMethylation450k,WBC,No
3999492113_R04C02,BakFW016,BakFW016,Bcell,F,0,R04C02,3999492113    ,Bakulski,FW016,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492113_R06C02,BakFW016,BakFW016,NK,F,0,R06C02,3999492113    ,Bakulski,FW016,NK,IlluminaHumanMethylation450k,CD8T,Yes
3999492029_R01C01,BakFW016,BakFW016,Gran,F,0,R01C01,3999492029    ,Bakulski,FW016,Gran,IlluminaHumanMethylation450k,Gran,No
3999492029_R02C01,BakFW016,BakFW016,Mono,F,0,R02C01,3999492029    ,Bakulski,FW016,Mono,IlluminaHumanMethylation450k,Mono,No
3999492029_R03C01,BakFW016,BakFW016,NK,F,0,R03C01,3999492029    ,Bakulski,FW016,NK,IlluminaHumanMethylation450k,NK,No
3999492029_R04C01,BakFW016,BakFW016,nRBC,F,0,R04C01,3999492029    ,Bakulski,FW016,nRBC,IlluminaHumanMethylation450k,nRBC,No
3999492029_R05C01,BakFW016,BakFW016,WBC,F,0,R05C01,3999492029    ,Bakulski,FW016,WBC,IlluminaHumanMethylation450k,WBC,No
3999492029_R06C01,BakFW017,BakFW017,Bcell,M,0,R06C01,3999492029    ,Bakulski,FW017,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492029_R03C02,BakFW017,BakFW017,Gran,M,0,R03C02,3999492029    ,Bakulski,FW017,Gran,IlluminaHumanMethylation450k,Gran,No
3999492029_R04C02,BakFW017,BakFW017,Mono,M,0,R04C02,3999492029    ,Bakulski,FW017,Mono,IlluminaHumanMethylation450k,Mono,No
3999492029_R05C02,BakFW017,BakFW017,NK,M,0,R05C02,3999492029    ,Bakulski,FW017,NK,IlluminaHumanMethylation450k,NK,No
3999492029_R06C02,BakFW017,BakFW017,WBC,M,0,R06C02,3999492029    ,Bakulski,FW017,WBC,IlluminaHumanMethylation450k,WBC,No
3999492043_R01C01,BakFW020,BakFW020,WBC,F,0,R01C01,3999492043    ,Bakulski,FW020,WBC,IlluminaHumanMethylation450k,WBC,No
3999492043_R02C01,BakFW018,BakFW018,Bcell,F,0,R02C01,3999492043    ,Bakulski,FW018,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492043_R03C01,BakFW018,BakFW018,CD4T,F,0,R03C01,3999492043    ,Bakulski,FW018,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999492043_R05C01,BakFW018,BakFW018,Gran,F,0,R05C01,3999492043    ,Bakulski,FW018,Gran,IlluminaHumanMethylation450k,Gran,No
3999492043_R06C01,BakFW018,BakFW018,Mono,F,0,R06C01,3999492043    ,Bakulski,FW018,Mono,IlluminaHumanMethylation450k,Mono,No
3999492043_R01C02,BakFW018,BakFW018,NK,F,0,R01C02,3999492043    ,Bakulski,FW018,NK,IlluminaHumanMethylation450k,NK,No
3999492043_R02C02,BakFW018,BakFW018,WBC,F,0,R02C02,3999492043    ,Bakulski,FW018,WBC,IlluminaHumanMethylation450k,WBC,No
3999492043_R03C02,BakFW021,BakFW021,Bcell,M,0,R03C02,3999492043    ,Bakulski,FW021,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492043_R04C02,BakFW021,BakFW021,CD4T,M,0,R04C02,3999492043    ,Bakulski,FW021,CD4T,IlluminaHumanMethylation450k,CD4T,No
3999492043_R05C02,BakFW021,BakFW021,CD8T,M,0,R05C02,3999492043    ,Bakulski,FW021,CD8T,IlluminaHumanMethylation450k,CD8T,No
3999492043_R06C02,BakFW021,BakFW021,Gran,M,0,R06C02,3999492043    ,Bakulski,FW021,Gran,IlluminaHumanMethylation450k,Gran,No
3999492054_R01C01,BakFW021,BakFW021,Mono,M,0,R01C01,3999492054    ,Bakulski,FW021,Mono,IlluminaHumanMethylation450k,Mono,No
3999492054_R02C01,BakFW021,BakFW021,NK,M,0,R02C01,3999492054    ,Bakulski,FW021,NK,IlluminaHumanMethylation450k,NK,No
3999492054_R03C01,BakFW021,BakFW021,WBC,M,0,R03C01,3999492054    ,Bakulski,FW021,WBC,IlluminaHumanMethylation450k,WBC,No
3999492054_R04C01,BakFW023,BakFW023,Bcell,M,0,R04C01,3999492054    ,Bakulski,FW023,Bcell,IlluminaHumanMethylation450k,Bcell,No
3999492054_R01C02,BakFW023,BakFW023,Gran,M,0,R01C02,3999492054    ,Bakulski,FW023,Gran,IlluminaHumanMethylation450k,Gran,No
3999492054_R02C02,BakFW023,BakFW023,Mono,M,0,R02C02,3999492054    ,Bakulski,FW023,Mono,IlluminaHumanMethylation450k,Mono,No
3999492054_R03C02,BakFW023,BakFW023,NK,M,0,R03C02,3999492054    ,Bakulski,FW023,NK,IlluminaHumanMethylation450k,NK,No
3999492054_R05C02,BakFW023,BakFW023,WBC,M,0,R05C02,3999492054    ,Bakulski,FW023,WBC,IlluminaHumanMethylation450k,WBC,No
3999492054_R06C02,BakFW023,BakFW023,CD4T,M,0,R06C02,3999492054    ,Bakulski,FW023,CD4T,IlluminaHumanMethylation450k,CD4T,No
CD4+_4,CD4+_4,Gervin4,CD4T,F,0,R01C01,3998909141    ,Gervin,4,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_5,CD4+_5,Gervin5,CD8T,M,0,R02C01,3998909141    ,Gervin,5,CD8+ T-cells,IlluminaHumanMethylation450k,CD4T,Yes
CD4+_6,CD4+_6,Gervin6,CD4T,M,0,R03C01,3998909141    ,Gervin,6,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_12,CD4+_12,Gervin12,CD4T,M,0,R04C01,3998909141    ,Gervin,12,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_16,CD4+_16,Gervin16,CD4T,M,0,R05C01,3998909141    ,Gervin,16,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_17,CD4+_17,Gervin17,CD4T,M,0,R06C01,3998909141    ,Gervin,17,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_18,CD4+_18,Gervin18,CD8T,F,0,R01C02,3998909141    ,Gervin,18,CD8+ T-cells,IlluminaHumanMethylation450k,CD4T,Yes
CD4+_20,CD4+_20,Gervin20,CD8T,F,0,R02C02,3998909141    ,Gervin,20,CD8+ T-cells,IlluminaHumanMethylation450k,CD4T,Yes
CD4+_21,CD4+_21,Gervin21,CD4T,F,0,R03C02,3998909141    ,Gervin,21,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_22,CD4+_22,Gervin22,CD4T,F,0,R04C02,3998909141    ,Gervin,22,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD4+_23,CD4+_23,Gervin23,CD4T,F,0,R05C02,3998909141    ,Gervin,23,CD4+ T-cells,IlluminaHumanMethylation450k,CD4T,No
CD8+_4,CD8+_4,Gervin4,CD8T,F,0,R01C01,3998909147    ,Gervin,4,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_5,CD8+_5,Gervin5,CD4T,M,0,R02C01,3998909147    ,Gervin,5,CD4+ T-cells,IlluminaHumanMethylation450k,CD8T,Yes
CD8+_6,CD8+_6,Gervin6,CD8T,M,0,R03C01,3998909147    ,Gervin,6,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_12,CD8+_12,Gervin12,CD8T,M,0,R04C01,3998909147    ,Gervin,12,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_16,CD8+_16,Gervin16,CD8T,M,0,R05C01,3998909147    ,Gervin,16,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_17,CD8+_17,Gervin17,CD8T,M,0,R06C01,3998909147    ,Gervin,17,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_18,CD8+_18,Gervin18,CD4T,F,0,R01C02,3998909147    ,Gervin,18,CD4+ T-cells,IlluminaHumanMethylation450k,CD8T,Yes
CD8+_20,CD8+_20,Gervin20,CD4T,F,0,R02C02,3998909147    ,Gervin,20,CD4+ T-cells,IlluminaHumanMethylation450k,CD8T,Yes
CD8+_21,CD8+_21,Gervin21,CD8T,F,0,R03C02,3998909147    ,Gervin,21,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_22,CD8+_22,Gervin22,CD8T,F,0,R04C02,3998909147    ,Gervin,22,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD8+_23,CD8+_23,Gervin23,CD8T,F,0,R05C02,3998909147    ,Gervin,23,CD8+ T-cells,IlluminaHumanMethylation450k,CD8T,No
CD14+_12,CD14+_12,Gervin12,Mono,M,0,R04C01,3998909162    ,Gervin,12,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_16,CD14+_16,Gervin16,Mono,M,0,R05C01,3998909162    ,Gervin,16,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_17,CD14+_17,Gervin17,Mono,M,0,R06C01,3998909162    ,Gervin,17,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_18,CD14+_18,Gervin18,Mono,F,0,R01C02,3998909162    ,Gervin,18,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_20,CD14+_20,Gervin20,Mono,F,0,R02C02,3998909162    ,Gervin,20,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_21,CD14+_21,Gervin21,Mono,F,0,R03C02,3998909162    ,Gervin,21,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_22,CD14+_22,Gervin22,Mono,F,0,R04C02,3998909162    ,Gervin,22,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD14+_23,CD14+_23,Gervin23,Mono,F,0,R05C02,3998909162    ,Gervin,23,CD14+ Monocytes,IlluminaHumanMethylation450k,Mono,No
CD19+_4,CD19+_4,Gervin4,Bcell,F,0,R01C01,3998909167    ,Gervin,4,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_5,CD19+_5,Gervin5,Bcell,M,0,R02C01,3998909167    ,Gervin,5,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_6,CD19+_6,Gervin6,Bcell,M,0,R03C01,3998909167    ,Gervin,6,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_12,CD19+_12,Gervin12,Bcell,M,0,R04C01,3998909167    ,Gervin,12,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_16,CD19+_16,Gervin16,Bcell,M,0,R05C01,3998909167    ,Gervin,16,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_17,CD19+_17,Gervin17,Bcell,M,0,R06C01,3998909167    ,Gervin,17,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_18,CD19+_18,Gervin18,Bcell,F,0,R01C02,3998909167    ,Gervin,18,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_20,CD19+_20,Gervin20,Bcell,F,0,R02C02,3998909167    ,Gervin,20,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_21,CD19+_21,Gervin21,Bcell,F,0,R03C02,3998909167    ,Gervin,21,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_22,CD19+_22,Gervin22,Bcell,F,0,R04C02,3998909167    ,Gervin,22,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD19+_23,CD19+_23,Gervin23,Bcell,F,0,R05C02,3998909167    ,Gervin,23,CD19+ B-cells,IlluminaHumanMethylation450k,Bcell,No
CD56+_4,CD56+_4,Gervin4,NK,F,0,R01C01,3998909168    ,Gervin,4,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_5,CD56+_5,Gervin5,NK,M,0,R02C01,3998909168    ,Gervin,5,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_6,CD56+_6,Gervin6,NK,M,0,R03C01,3998909168    ,Gervin,6,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_12,CD56+_12,Gervin12,NK,M,0,R04C01,3998909168    ,Gervin,12,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_16,CD56+_16,Gervin16,NK,M,0,R05C01,3998909168    ,Gervin,16,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_17,CD56+_17,Gervin17,NK,M,0,R06C01,3998909168    ,Gervin,17,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_18,CD56+_18,Gervin18,NK,F,0,R01C02,3998909168    ,Gervin,18,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_20,CD56+_20,Gervin20,NK,F,0,R02C02,3998909168    ,Gervin,20,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_21,CD56+_21,Gervin21,NK,F,0,R03C02,3998909168    ,Gervin,21,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_22,CD56+_22,Gervin22,NK,F,0,R04C02,3998909168    ,Gervin,22,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
CD56+_23,CD56+_23,Gervin23,NK,F,0,R05C02,3998909168    ,Gervin,23,CD56+ NK-cells,IlluminaHumanMethylation450k,NK,No
Gran_4,Gran_4,Gervin4,Gran,F,0,R01C01,3998909184    ,Gervin,4,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_5,Gran_5,Gervin5,Gran,M,0,R02C01,3998909184    ,Gervin,5,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_6,Gran_6,Gervin6,Gran,M,0,R03C01,3998909184    ,Gervin,6,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_12,Gran_12,Gervin12,Gran,M,0,R04C01,3998909184    ,Gervin,12,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_16,Gran_16,Gervin16,Gran,M,0,R05C01,3998909184    ,Gervin,16,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_17,Gran_17,Gervin17,Gran,M,0,R06C01,3998909184    ,Gervin,17,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_18,Gran_18,Gervin18,Gran,F,0,R01C02,3998909184    ,Gervin,18,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_20,Gran_20,Gervin20,Gran,F,0,R02C02,3998909184    ,Gervin,20,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_21,Gran_21,Gervin21,Gran,F,0,R03C02,3998909184    ,Gervin,21,Granulocytes,IlluminaHumanMethylation450k,Gran,No
Gran_22,Gran_22,Gervin22,Gran,F,0,R04C02,3998909184    ,Gervin,22,Granulocytes,IlluminaHumanMethylation450k,Gran,No
